,#name_w_spin,metal,Ox,spin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,SSE
302,mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_phosphine,mn,2,4,-0.51869,-0.51858,-0.51597,-0.46723,-0.45528,1.1043,-0.48589,-0.48506,-0.48532,-0.47942,-0.48449,-0.03361,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,1.376989119
479,mn_3_phosphine_phosphine_phosphine_phosphine_misc_misc,mn,3,3,-0.75108,-0.75083,-0.70209,-0.6244,-0.57325,0.38172,0.19439,0.19404,0.13546,0.13755,0.13339,0.13472,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-34.99383561
107,cr_2_water_water_water_water_phosphine_phosphine,cr,2,3,-0.54035,-0.53516,-0.52683,-0.48209,-0.37436,0.88499,-0.87274,-0.87506,-0.91797,-0.91857,0.53266,0.53345,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-27.3767741
346,mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_chloride,mn,2,4,-0.45859,-0.4569,-0.45332,-0.37958,-0.35463,0.75747,-0.53728,-0.25547,-0.26126,-0.26119,-0.26326,-0.25255,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,-9.696836729
486,mn_3_water_water_water_water_acetonitrile_acetonitrile,mn,3,3,-0.77565,-0.76479,-0.75685,-0.73691,-0.625,1.27817,-0.50629,-0.50645,-0.85404,-0.85371,-0.8941,-0.89417,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-29.53196975
289,fe_3_water_water_water_water_misc_misc,fe,3,4,-0.80727,-0.79617,-0.78669,-0.74891,-0.42918,1.26328,-0.87471,-0.87511,-0.88759,-0.88779,0.20086,0.20116,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,-6.224955676
303,mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water,mn,2,4,-0.51535,-0.51312,-0.5107,-0.46798,-0.46529,1.19182,-0.89933,-0.48316,-0.48829,-0.49151,-0.49198,-0.48272,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,2.284619583
493,mn_3_water_water_water_water_water_acetonitrile,mn,3,3,-0.82147,-0.81465,-0.78581,-0.7672,-0.6605,1.33657,-0.52635,-0.84459,-0.85245,-0.85187,-0.90984,-0.91072,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-31.56698468
92,cr_2_phosphine_phosphine_phosphine_phosphine_misc_misc,cr,2,3,-0.51864,-0.50615,-0.4975,-0.43731,-0.33765,0.19798,0.32925,0.32882,0.07534,0.07496,-0.02668,-0.0267,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-33.73792455
235,fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_phosphine,fe,3,4,-0.90159,-0.90094,-0.77713,-0.7354,-0.70991,1.2437,-1.06192,-1.05965,-1.06175,-1.06211,-1.06365,0.44299,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,3.661796954
